Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,29,7,2227,2230,528,515,UA,184,NA,301,285,NA,13,-3,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,30,1,2227,2230,520,515,UA,184,NA,293,285,NA,5,-3,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,31,2,2231,2230,526,515,UA,184,NA,295,285,NA,11,1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,1,7,2033,2035,2107,2109,UA,184,NA,34,34,NA,-2,-2,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,2,1,2028,2035,2107,2109,UA,184,NA,39,34,NA,-2,-7,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,3,2,2031,2035,2107,2109,UA,184,NA,36,34,NA,-2,-4,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,4,3,2031,2035,2105,2109,UA,184,NA,34,34,NA,-4,-4,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,5,4,2029,2035,2108,2109,UA,184,NA,39,34,NA,-1,-6,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,6,5,2105,2035,2143,2109,UA,184,NA,38,34,NA,34,30,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,7,6,2028,2035,2102,2109,UA,184,NA,34,34,NA,-7,-7,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,8,7,2033,2035,2112,2109,UA,184,NA,39,34,NA,3,-2,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,9,1,2029,2035,2110,2109,UA,184,NA,41,34,NA,1,-6,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,10,2,2031,2035,2113,2109,UA,184,NA,42,34,NA,4,-4,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,11,3,2029,2035,2111,2109,UA,184,NA,42,34,NA,2,-6,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,12,4,2026,2035,2108,2109,UA,184,NA,42,34,NA,-1,-9,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,14,6,2033,2035,2109,2109,UA,184,NA,36,34,NA,0,-2,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,15,7,2031,2035,2110,2109,UA,184,NA,39,34,NA,1,-4,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,16,1,2030,2035,2107,2109,UA,184,NA,37,34,NA,-2,-5,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,17,2,2030,2035,2106,2109,UA,184,NA,36,34,NA,-3,-5,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,18,3,2028,2035,2104,2109,UA,184,NA,36,34,NA,-5,-7,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
